UUID,Title,Image,Synopsis,Author,Duration,Guidance,Quote,Cited,Supplemental,Video
6B76154B-8E25-47DC-ADB6-EF45A59334E9,Possum Day,Possum-day.jpg,Mr. Drysdale tries to get the city of Beverly Hills to celebrate Possum Day in order to keep the Clampetts from returning home.,Paul Henning & Mark Tuttle,21:07,PG,,,"Granny and Jethro return to Elly and Jed, who has been suffering his daughter’s cooking for a while, from visiting Pearl back home. Granny returns with presents and a new device – a telephone.",https://www.youtube.com/watch?v=XQu8TTBmGhA
2E79B7E4-292E-4346-9A51-76CEFB465FF5,The Possum Day Parade,The-Possum-Day-Parade.jpg,Granny campaigns dirty against Mrs. Drysdale for the title of Possum Queen.,Paul Henning & Mark Tuttle,21:09,PG,,,,https://www.youtube.com/watch?v=XQu8TTBmGhA
148B4CD7-0A65-4A2B-8FB6-C3A1C1918FA8,The Clampetts Play the Rams,The-Clampetts-Play-The-Rams.jpg,"Jethro's date, Mr. Drysdale's maid, is more interested in watching his color television than in him.",Paul Henning & Mark Tuttle,21:12,PG,,,,https://www.youtube.com/watch?v=XQu8TTBmGhA
269D5C1E-C2D9-48F8-8978-1CED737D0CCB,The Courtship of Elly,The-Courtship-of-Elly.jpg,Granny's love potion for Elly May affects Miss Jane's boyfriend.,Paul Henning & Mark Tuttle,21:03,PG,,,,https://www.youtube.com/watch?v=XQu8TTBmGhA
7A9D367E-12B9-4A3D-BFDA-7D54C7015DB3,The Party Line,The-Party-line.jpg,Granny and Jethro return from visiting the hills with an old-fashioned telephone to communicate with home.,Paul Henning & Mark Tuttle,21:11,PG,"""Well, Granny left enough vittles for a couple of weeks. But since that run out, its been mostly roots and berries. And they is a squirrel I'm right beholdin' to for nuts.""",Jed,,https://www.youtube.com/watch?v=XQu8TTBmGhA
ED1374BC-1B86-4B9B-9B4B-49FF94409E93,The Soup Contest,The-Soup-Contest.jpg,"In an attempt to attract suitors for Elly May, Granny enters some of her own soup in a contest under the girl's name.",Paul Henning & Buddy Atkinson,21:08,PG,,,,https://www.youtube.com/watch?v=XQu8TTBmGhA
BD175146-AB15-47BA-8575-88EAF86F9D89,Jethro Takes Love Lessons,Jethro-Takes-Love-Lessons.jpg,"Despite getting advice from an expert, Jethro remains unlucky at romance.",Mark Tuttle & Ronny Pearlman,21:20,PG,,,,https://www.youtube.com/watch?v=XQu8TTBmGhA
D5B587CD-7A7C-49FB-A8EC-0FC9E4392A47,The Badger Game,The-Badger-Game.jpg,A young girl posing as an acquaintance from back home tries to blackmail Jed with some compromising photographs.,Paul Henning & Buddy Atkinson,21:24,PG,,,,https://www.youtube.com/watch?v=XQu8TTBmGhA
DC6D5489-E735-4BFF-8769-6B630E57D9C1,The Badgers Return,The-Badgers-Return.jpg,A pair of con artists use the Clampetts' unwitting assistance to try to blackmail Mr. Drysdale.,Paul Henning & Buddy Atkinson,21:16,PG,,,,https://www.youtube.com/watch?v=XQu8TTBmGhA
39ACABCF-AC6A-4077-8F7A-8A20E619814E,The Gorilla,The-Gorilla.jpg,"After the Clampetts request a gorilla to help out with housework, Mr. Drysdale hires a man in a costume to change their minds.",Paul Henning & Buddy Atkinson,21:07,PG,,,,https://www.youtube.com/watch?v=XQu8TTBmGhA
